#Idx,EeV,g,rIn,v,J,ECB,Group
3243,-7.044883e-01,9.550000e+01,1.923559e+00,19,95,1.046959e+00,14
3244,-7.042815e-01,1.500000e+00,1.811230e+00,29,1,7.042831e-01,16
3245,-7.041678e-01,9.050000e+01,1.910673e+00,20,90,1.004170e+00,14
3246,-7.038132e-01,2.500000e+00,1.811256e+00,29,2,7.038214e-01,16
3247,-7.031111e-01,3.500000e+00,1.811295e+00,29,3,7.031340e-01,16
3248,-7.021748e-01,4.500000e+00,1.811346e+00,29,4,7.022235e-01,16
3249,-7.020447e-01,1.255000e+02,2.029389e+00,12,125,1.363488e+00,13
3250,-7.015764e-01,4.250000e+01,1.831228e+00,27,42,7.341433e-01,16
3251,-7.010047e-01,5.500000e+00,1.811410e+00,29,5,7.010931e-01,16
3252,-6.998183e-01,1.365000e+02,2.086692e+00,9,136,1.507594e+00,12
3253,-6.996009e-01,6.500000e+00,1.811487e+00,29,6,6.997456e-01,16
3254,-6.994879e-01,3.050000e+01,1.821276e+00,28,30,7.120343e-01,16
3255,-6.987843e-01,1.005000e+02,1.937228e+00,18,100,1.086675e+00,14
3256,-6.979973e-01,8.550000e+01,1.898530e+00,21,85,9.584260e-01,14
3257,-6.979633e-01,7.500000e+00,1.811577e+00,29,7,6.981837e-01,16
3258,-6.975864e-01,1.095000e+02,1.965555e+00,16,109,1.174866e+00,14
3259,-6.973252e-01,6.750000e+01,1.863478e+00,24,67,8.384067e-01,15
3260,-6.960922e-01,8.500000e+00,1.811680e+00,29,8,6.964098e-01,16
3261,-6.955858e-01,6.050000e+01,1.852580e+00,25,60,7.996770e-01,15
3262,-6.954895e-01,5.250000e+01,1.841918e+00,26,52,7.635610e-01,15
3263,-6.939880e-01,9.500000e+00,1.811796e+00,29,9,6.944269e-01,16
3264,-6.938163e-01,1.435000e+02,2.131626e+00,7,143,1.603501e+00,12
3265,-6.930329e-01,1.295000e+02,2.047897e+00,11,129,1.405775e+00,13
3266,-6.921545e-01,3.150000e+01,1.821676e+00,28,31,7.059057e-01,16
3267,-6.916505e-01,1.050000e+01,1.811924e+00,29,10,6.922375e-01,16
3268,-6.912902e-01,4.350000e+01,1.831786e+00,27,43,7.268923e-01,16
3269,-6.890804e-01,1.150000e+01,1.812066e+00,29,11,6.898445e-01,16
3270,-6.875275e-01,7.450000e+01,1.875333e+00,23,74,8.708081e-01,15
3271,-6.872496e-01,1.595000e+02,2.290749e+00,2,159,1.856914e+00,11
3272,-6.868978e-01,1.055000e+02,1.951729e+00,17,105,1.123221e+00,14
3273,-6.864700e-01,1.625000e+02,2.342581e+00,1,162,1.909249e+00,11
3274,-6.862774e-01,1.250000e+01,1.812220e+00,29,12,6.872496e-01,16
3275,-6.861701e-01,8.050000e+01,1.887095e+00,22,80,9.098635e-01,15
3276,-6.854433e-01,1.565000e+02,2.249830e+00,3,156,1.803403e+00,11
3277,-6.845916e-01,3.250000e+01,1.822090e+00,28,32,6.996202e-01,16
3278,-6.832422e-01,1.350000e+01,1.812388e+00,29,13,6.844564e-01,16
3279,-6.830349e-01,1.655000e+02,2.420766e+00,0,165,1.960358e+00,11
3280,-6.826882e-01,5.350000e+01,1.842610e+00,26,53,7.548996e-01,16
3281,-6.811219e-01,1.535000e+02,2.215336e+00,4,153,1.748765e+00,12
3282,-6.809480e-01,9.150000e+01,1.911915e+00,20,91,9.892108e-01,14
3283,-6.807785e-01,4.450000e+01,1.832358e+00,27,44,7.195367e-01,16
3284,-6.807045e-01,6.150000e+01,1.853383e+00,25,61,7.897655e-01,15
3285,-6.805736e-01,6.850000e+01,1.864378e+00,24,68,8.273621e-01,15
3286,-6.799749e-01,1.450000e+01,1.812568e+00,29,14,6.814669e-01,16
3287,-6.797997e-01,9.650000e+01,1.924881e+00,19,96,1.031116e+00,14
3288,-6.797706e-01,1.335000e+02,2.067655e+00,10,133,1.445988e+00,12
3289,-6.790606e-01,1.405000e+02,2.109380e+00,8,140,1.544214e+00,12
3290,-6.768005e-01,3.350000e+01,1.822517e+00,28,33,6.931806e-01,16
3291,-6.764761e-01,1.550000e+01,1.812761e+00,29,15,6.782840e-01,16
3292,-6.762546e-01,1.185000e+02,1.997334e+00,14,118,1.253050e+00,13
3293,-6.762434e-01,8.650000e+01,1.899695e+00,21,86,9.443583e-01,15
3294,-6.743873e-01,1.145000e+02,1.981800e+00,15,114,1.205679e+00,13
3295,-6.743563e-01,1.505000e+02,2.185214e+00,5,150,1.693050e+00,12
3296,-6.741746e-01,1.225000e+02,2.013792e+00,13,122,1.298549e+00,13
3297,-6.727457e-01,1.650000e+01,1.812967e+00,29,16,6.749095e-01,16
3298,-6.726254e-01,1.015000e+02,1.938633e+00,18,101,1.069960e+00,14
3299,-6.700422e-01,4.550000e+01,1.832944e+00,27,45,7.120803e-01,16
3300,-6.696654e-01,5.450000e+01,1.843318e+00,26,54,7.461204e-01,16
3301,-6.689004e-01,7.550000e+01,1.876335e+00,23,75,8.586422e-01,15
3302,-6.687845e-01,1.750000e+01,1.813187e+00,29,17,6.713470e-01,16
3303,-6.687818e-01,3.450000e+01,1.822957e+00,28,34,6.865908e-01,16
3304,-6.686857e-01,1.105000e+02,1.967117e+00,16,110,1.156516e+00,14
3305,-6.680406e-01,1.265000e+02,2.031266e+00,12,126,1.342107e+00,13
3306,-6.658773e-01,8.150000e+01,1.888185e+00,22,81,8.966932e-01,15
3307,-6.656046e-01,6.250000e+01,1.854200e+00,25,62,7.797395e-01,15
3308,-6.652198e-01,1.475000e+02,2.158323e+00,6,147,1.636311e+00,12
3309,-6.645926e-01,1.850000e+01,1.813419e+00,29,18,6.675984e-01,16
3310,-6.636065e-01,6.950000e+01,1.865294e+00,24,69,8.162082e-01,15
3311,-6.621664e-01,1.375000e+02,2.088826e+00,9,137,1.484075e+00,12
3312,-6.605359e-01,3.550000e+01,1.823411e+00,28,35,6.798536e-01,16
3313,-6.601705e-01,1.950000e+01,1.813664e+00,29,19,6.636661e-01,16
3314,-6.592692e-01,1.065000e+02,1.953221e+00,17,106,1.105646e+00,14
3315,-6.590823e-01,4.650000e+01,1.833544e+00,27,46,7.045158e-01,16
