Id,v,longitude,latitude,rin,eevvib,eevrot,deltaeintdiss,bin
5768,-5,189,-7.926975,2.051476,1.408831,7.552161,-2.542867,22
5769,-39,57,-7.908651,1.627843,8.497481,0.465343,-0.86213,35
5770,-40,49,-7.899353,1.621554,8.626453,0.337301,-0.837137,35
5771,-16,157,-7.893965,1.84914,4.194971,4.769321,-1.857289,32
5772,-42,27,-7.886838,1.609638,8.865811,0.099194,-0.797783,35
5773,-20,144,-7.885213,1.798083,5.09995,3.865217,-1.637663,32
5774,-24,130,-7.870595,1.75345,5.944884,3.021746,-1.434604,34
5775,-9,178,-7.84722,1.962157,2.471913,6.497054,-2.275855,4
5776,-41,40,-7.839079,1.615677,8.7493,0.220482,-0.810959,35
5777,-37,71,-7.825349,1.641497,8.221968,0.749186,-0.91159,35
5778,-31,102,-7.821604,1.687556,7.267788,1.703741,-1.122315,34
5779,-42,28,-7.813977,1.6099,8.865811,0.10648,-0.791468,35
5780,-36,77,-7.809243,1.648597,8.075809,0.896956,-0.941426,35
5781,-17,154,-7.802801,1.835995,4.42672,4.546689,-1.794879,32
5782,-43,0,-7.779178,1.604376,8.975771,0,-0.777918,35
5783,-43,1,-7.776624,1.604385,8.975771,0.000255,-0.777664,35
5784,-43,2,-7.771516,1.604404,8.975771,0.000766,-0.77716,35
5785,-40,50,-7.76491,1.622037,8.626453,0.350745,-0.826371,35
5786,-43,3,-7.763856,1.604431,8.975771,0.001532,-0.776407,35
5787,-43,4,-7.753643,1.604468,8.975771,0.002554,-0.77541,35
5788,-38,65,-7.750567,1.63497,8.362588,0.616044,-0.876768,35
5789,-39,58,-7.750245,1.628413,8.497481,0.481183,-0.849735,35
5790,-34,88,-7.748711,1.663646,7.76757,1.211248,-1.004359,35
5791,-43,5,-7.740879,1.604514,8.975771,0.00383,-0.774172,35
5792,-42,29,-7.738605,1.610171,8.865811,0.114018,-0.784964,35
5793,-33,93,-7.735773,1.67149,7.605817,1.374294,-1.039541,35
5794,-8,181,-7.734808,1.982483,2.211477,6.768731,-2.332601,22
5795,-28,115,-7.731323,1.71447,6.726384,2.254173,-1.24096,34
5796,-41,41,-7.73069,1.616067,8.7493,0.231321,-0.802022,35
5797,-43,6,-7.725566,1.604569,8.975771,0.005361,-0.772694,35
5798,-27,119,-7.724967,1.723916,6.537208,2.443984,-1.284744,34
5799,-4,192,-7.713042,2.080361,1.134173,7.848212,-2.596871,4
5800,-43,7,-7.707707,1.604633,8.975771,0.007147,-0.77098,35
5801,-23,134,-7.702598,1.764701,5.739436,3.243994,-1.471952,34
5802,-35,83,-7.698201,1.656288,7.924287,1.059582,-0.966077,35
5803,-29,111,-7.696496,1.705457,6.911275,2.072764,-1.195517,34
5804,-21,141,-7.695663,1.78705,5.316917,3.667206,-1.572625,34
5805,-18,151,-7.689365,1.823419,4.654818,4.329934,-1.73195,32
5806,-43,8,-7.687302,1.604707,8.975771,0.009188,-0.769033,35
5807,-26,123,-7.676022,1.733807,6.343844,2.642242,-1.326785,34
5808,-43,9,-7.664356,1.60479,8.975771,0.011482,-0.766856,35
5809,-42,30,-7.660731,1.610451,8.865811,0.121805,-0.778274,35
5810,-32,98,-7.656805,1.679832,7.439177,1.548832,-1.071477,35
5811,-1,200,-7.645224,2.197304,0.288872,8.700294,-2.80154,4
5812,-43,10,-7.638871,1.604882,8.975771,0.014031,-0.76445,35
5813,-40,51,-7.628052,1.622531,8.626453,0.364431,-0.815455,35
5814,-37,72,-7.623076,1.642229,8.221968,0.769413,-0.896313,35
5815,-30,107,-7.622004,1.696866,7.091781,1.899708,-1.14851,34
5816,-41,42,-7.619846,1.616468,8.7493,0.242405,-0.792922,35
5817,-43,11,-7.610851,1.604983,8.975771,0.016833,-0.76182,35
5818,-7,184,-7.594197,2.00436,1.947483,7.046786,-2.388503,4
5819,-39,59,-7.589467,1.628994,8.497481,0.497261,-0.837204,35
5820,-36,78,-7.587093,1.649401,8.075809,0.919171,-0.924866,35
5821,-25,127,-7.583182,1.744157,6.146377,2.848994,-1.367009,34
5822,-42,31,-7.580366,1.610742,8.865811,0.129841,-0.771402,35
5823,-43,12,-7.580298,1.605094,8.975771,0.019888,-0.758968,35
5824,-38,66,-7.56799,1.635631,8.362588,0.634302,-0.862792,35
5825,-19,148,-7.554466,1.811374,4.879239,4.119004,-1.668557,32
5826,-43,13,-7.547219,1.605214,8.975771,0.023196,-0.755896,35
5827,-43,14,-7.511616,1.605343,8.975771,0.026756,-0.752607,35
5828,-31,103,-7.509486,1.688687,7.267788,1.734952,-1.100046,34
5829,-41,43,-7.506563,1.616878,8.7493,0.253733,-0.783659,35
5830,-42,32,-7.497522,1.611043,8.865811,0.138126,-0.764349,35
5831,-40,52,-7.488796,1.623036,8.626453,0.378357,-0.804392,35
5832,-34,89,-7.488671,1.66459,7.76757,1.237252,-0.985387,35
5833,-22,138,-7.487292,1.77646,5.530095,3.474865,-1.507301,34
5834,-43,15,-7.473495,1.605482,8.975771,0.030568,-0.749103,35
5835,-3,195,-7.46897,2.113213,0.855961,8.150831,-2.649966,22
5836,-33,94,-7.457738,1.6725,7.605817,1.402098,-1.019432,35
5837,-35,84,-7.456055,1.657168,7.924287,1.083797,-0.948254,35
5838,-24,131,-7.445237,1.75498,5.944884,3.064282,-1.405352,34
5839,-13,167,-7.438202,1.894596,3.478019,5.53185,-2.002048,32
5840,-43,16,-7.432861,1.60563,8.975771,0.034632,-0.745388,35
5841,-14,164,-7.43265,1.879385,3.720604,5.28982,-1.942306,32
5842,-39,60,-7.426338,1.629587,8.497481,0.513574,-0.824539,35
5843,-6,187,-7.424863,2.028099,1.679934,7.331268,-2.443541,22
5844,-12,170,-7.418567,1.910613,3.231849,5.779983,-2.061102,32
5845,-37,73,-7.418525,1.642973,8.221968,0.789868,-0.880924,35
5846,-42,33,-7.412208,1.611354,8.865811,0.146657,-0.757118,35
5847,-15,161,-7.402595,1.864906,3.959593,5.053837,-1.881914,32
5848,-20,145,-7.398947,1.799826,5.09995,3.913844,-1.604756,32
5849,-41,44,-7.390855,1.6173,8.7493,0.265304,-0.774239,35
5850,-43,17,-7.389719,1.605787,8.975771,0.038946,-0.741464,35
5851,-38,67,-7.383104,1.636304,8.362588,0.652791,-0.848694,35
5852,-11,173,-7.373086,1.927528,2.982104,6.034277,-2.119431,32
5853,-28,116,-7.368777,1.715783,6.726384,2.290428,-1.215578,34
5854,-36,79,-7.362706,1.650219,8.075809,0.94161,-0.908202,35
5855,-32,99,-7.36071,1.68091,7.439177,1.578441,-1.050247,35
5856,-29,112,-7.350108,1.706714,6.911275,2.107403,-1.171141,34
5857,-16,158,-7.348752,1.851095,4.194971,4.823843,-1.820917,32
5858,-40,53,-7.347161,1.623553,8.626453,0.39252,-0.793186,35
5859,-27,120,-7.346244,1.725287,6.537208,2.481856,-1.258368,34
5860,-43,18,-7.344076,1.605954,8.975771,0.04351,-0.737333,35
5861,-42,34,-7.324437,1.611674,8.865811,0.155434,-0.749712,35
5862,0,203,-7.322638,2.269382,0,9.021425,-2.852584,22
5863,-10,176,-7.301131,1.945453,2.72879,6.294786,-2.177002,32
5864,-43,19,-7.295938,1.60613,8.975771,0.048324,-0.732998,35
5865,-30,108,-7.29174,1.698068,7.091781,1.932734,-1.12515,34
5866,-26,124,-7.281113,1.735236,6.343844,2.681733,-1.299428,34
5867,-41,45,-7.272737,1.617732,8.7493,0.277116,-0.764662,35
5868,-17,155,-7.271866,1.837899,4.42672,4.599782,-1.759359,32
5869,-23,135,-7.261061,1.766292,5.739436,3.288147,-1.44176,34
5870,-39,61,-7.260879,1.630192,8.497481,0.53012,-0.811744,35
5871,-43,20,-7.24531,1.606316,8.975771,0.053387,-0.728462,35
5872,-42,35,-7.23422,1.612005,8.865811,0.164456,-0.742133,35
5873,-34,90,-7.226474,1.665548,7.76757,1.263471,-0.96633,35
5874,-5,190,-7.226309,2.054136,1.408831,7.622227,-2.497702,4
5875,-21,142,-7.223687,1.788747,5.316917,3.714404,-1.54061,34
5876,-35,85,-7.211724,1.658061,7.924287,1.10823,-0.930339,35
5877,-37,74,-7.211722,1.64373,8.221968,0.810549,-0.865425,35
5878,-40,54,-7.203166,1.62408,8.626453,0.40692,-0.78184,35
5879,-9,179,-7.2021,1.964525,2.471913,6.561566,-2.233788,22
5880,-38,68,-7.195933,1.636989,8.362588,0.671508,-0.834477,35
5881,-31,104,-7.195298,1.689834,7.267788,1.766371,-1.077713,36
5882,-2,198,-7.194336,2.151881,0.574194,8.460062,-2.702146,4
5883,-43,21,-7.192201,1.606511,8.975771,0.058698,-0.723727,35
