#Idx,EeV,g,rIn,v,J,ECB,Group
1086,-6.321524e+00,3.930000e+02,1.801360e+00,9,65,6.423285e+00,5
1087,-6.319426e+00,1.446000e+03,2.079587e+00,0,120,6.842765e+00,6
1088,-6.317044e+00,3.660000e+02,1.751828e+00,12,30,6.329165e+00,3
1089,-6.314855e+00,6.780000e+02,1.784081e+00,10,56,6.382300e+00,3
1090,-6.313815e+00,2.730000e+02,1.767599e+00,11,45,6.350558e+00,3
1091,-6.312676e+00,6.330000e+02,1.939526e+00,3,105,6.680457e+00,4
1092,-6.303485e+00,1.890000e+02,1.752141e+00,12,31,6.316742e+00,3
1093,-6.301335e+00,4.890000e+02,1.840173e+00,7,81,6.485969e+00,5
1094,-6.296503e+00,1.134000e+03,1.884956e+00,5,94,6.570932e+00,5
1095,-6.293640e+00,5.580000e+02,1.768068e+00,11,46,6.332687e+00,3
1096,-6.292714e+00,8.940000e+02,1.820569e+00,8,74,6.437515e+00,5
1097,-6.292405e+00,7.980000e+02,1.802049e+00,9,66,6.398508e+00,5
1098,-6.289783e+00,3.450000e+02,1.784669e+00,10,57,6.360623e+00,3
1099,-6.289494e+00,3.900000e+02,1.752465e+00,12,32,6.303951e+00,3
1100,-6.288741e+00,1.206000e+03,1.910946e+00,4,100,6.612020e+00,5
1101,-6.288531e+00,1.062000e+03,1.861851e+00,6,88,6.518870e+00,5
1102,-6.275884e+00,6.690000e+02,1.974670e+00,2,111,6.701817e+00,4
1103,-6.275768e+00,1.398000e+03,2.017408e+00,1,116,6.754270e+00,4
1104,-6.275073e+00,2.010000e+02,1.752798e+00,12,33,6.290795e+00,3
1105,-6.274810e+00,6.000000e+00,1.737815e+00,13,0,6.274810e+00,3
1106,-6.274375e+00,9.000000e+00,1.737825e+00,13,1,6.274376e+00,3
1107,-6.273504e+00,3.000000e+01,1.737845e+00,13,2,6.273512e+00,3
1108,-6.273039e+00,2.850000e+02,1.768548e+00,11,47,6.314483e+00,3
1109,-6.272197e+00,2.100000e+01,1.737875e+00,13,3,6.272218e+00,3
1110,-6.270455e+00,5.400000e+01,1.737915e+00,13,4,6.270501e+00,3
1111,-6.268277e+00,3.300000e+01,1.737965e+00,13,5,6.268361e+00,3
1112,-6.265664e+00,7.800000e+01,1.738025e+00,13,6,6.265801e+00,3
1113,-6.265125e+00,1.278000e+03,1.940741e+00,3,106,6.642233e+00,4
1114,-6.264971e+00,9.900000e+02,1.841052e+00,7,82,6.455768e+00,5
1115,-6.264692e+00,7.290000e+02,2.081106e+00,0,121,6.799635e+00,6
