id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,OriginalLevel
136,2,-3.200000e+01,-4.544953e+01,2.099930e+00,3.848158e-01,1.832775e-01,-4.559982e+00,136
137,1,-4.600000e+01,-4.540927e+01,2.145900e+00,1.940088e-01,3.781104e-01,-4.586361e+00,137
138,3,-0.000000e+00,-4.540579e+01,2.063556e+00,5.724673e-01,0.000000e+00,-4.540579e+00,138
139,3,-1.000000e+00,-4.540235e+01,2.063569e+00,5.724673e-01,3.443900e-04,-4.540236e+00,139
140,3,-2.000000e+00,-4.539546e+01,2.063595e+00,5.724673e-01,1.033190e-03,-4.539554e+00,140
141,3,-3.000000e+00,-4.538513e+01,2.063635e+00,5.724673e-01,2.066380e-03,-4.538535e+00,141
142,3,-4.000000e+00,-4.537135e+01,2.063688e+00,5.724673e-01,3.443850e-03,-4.537184e+00,142
143,3,-5.000000e+00,-4.535413e+01,2.063754e+00,5.724673e-01,5.165620e-03,-4.535502e+00,143
144,2,-3.300000e+01,-4.533542e+01,2.100379e+00,3.848158e-01,1.946881e-01,-4.549923e+00,144
145,3,-6.000000e+00,-4.533347e+01,2.063834e+00,5.724673e-01,7.231570e-03,-4.533492e+00,145
146,3,-7.000000e+00,-4.530937e+01,2.063927e+00,5.724673e-01,9.641600e-03,-4.531158e+00,146
147,0,-5.700000e+01,-4.530514e+01,2.214642e+00,0.000000e+00,5.825320e-01,-4.620321e+00,147
148,3,-8.000000e+00,-4.528183e+01,2.064033e+00,5.724673e-01,1.239566e-02,-4.528501e+00,148
149,3,-9.000000e+00,-4.525085e+01,2.064152e+00,5.724673e-01,1.549362e-02,-4.525524e+00,149
150,1,-4.700000e+01,-4.524614e+01,2.146559e+00,1.940088e-01,3.944237e-01,-4.573554e+00,150
151,2,-3.400000e+01,-4.521792e+01,2.100841e+00,3.848158e-01,2.064390e-01,-4.539601e+00,151
152,3,-1.000000e+01,-4.521644e+01,2.064285e+00,5.724673e-01,1.893532e-02,-4.522231e+00,152
153,3,-1.100000e+01,-4.517858e+01,2.064431e+00,5.724673e-01,2.272064e-02,-4.518622e+00,153
154,3,-1.200000e+01,-4.513730e+01,2.064590e+00,5.724673e-01,2.684945e-02,-4.514702e+00,154
155,0,-5.800000e+01,-4.510310e+01,2.215494e+00,0.000000e+00,6.027362e-01,-4.604775e+00,155
156,2,-3.500000e+01,-4.509701e+01,2.101317e+00,3.848158e-01,2.185297e-01,-4.529018e+00,156
157,3,-1.300000e+01,-4.509258e+01,2.064762e+00,5.724673e-01,3.132151e-02,-4.510472e+00,157
158,1,-4.800000e+01,-4.507964e+01,2.147233e+00,1.940088e-01,4.110731e-01,-4.560519e+00,158
159,3,-1.400000e+01,-4.504442e+01,2.064948e+00,5.724673e-01,3.613667e-02,-4.505934e+00,159
160,3,-1.500000e+01,-4.499284e+01,2.065147e+00,5.724673e-01,4.129475e-02,-4.501092e+00,160
161,2,-3.600000e+01,-4.497271e+01,2.101807e+00,3.848158e-01,2.309598e-01,-4.518180e+00,161
162,3,-1.600000e+01,-4.493784e+01,2.065360e+00,5.724673e-01,4.679550e-02,-4.495947e+00,162
163,1,-4.900000e+01,-4.490979e+01,2.147921e+00,1.940088e-01,4.280581e-01,-4.547256e+00,163
164,0,-5.900000e+01,-4.489774e+01,2.216363e+00,0.000000e+00,6.232723e-01,-4.589000e+00,164
165,3,-1.700000e+01,-4.487940e+01,2.065586e+00,5.724673e-01,5.263871e-02,-4.490503e+00,165
166,2,-3.700000e+01,-4.484502e+01,2.102311e+00,3.848158e-01,2.437287e-01,-4.507090e+00,166
167,3,-1.800000e+01,-4.481755e+01,2.065825e+00,5.724673e-01,5.882411e-02,-4.484761e+00,167
168,3,-1.900000e+01,-4.475228e+01,2.066077e+00,5.724673e-01,6.535149e-02,-4.478723e+00,168
169,1,-5.000000e+01,-4.473660e+01,2.148624e+00,1.940088e-01,4.453780e-01,-4.533763e+00,169
170,2,-3.800000e+01,-4.471395e+01,2.102829e+00,3.848158e-01,2.568359e-01,-4.495755e+00,170
171,0,-6.000000e+01,-4.468907e+01,2.217247e+00,0.000000e+00,6.441395e-01,-4.572998e+00,171
172,3,-2.000000e+01,-4.468359e+01,2.066343e+00,5.724673e-01,7.222051e-02,-4.472393e+00,172
173,3,-2.100000e+01,-4.461148e+01,2.066623e+00,5.724673e-01,7.943093e-02,-4.465772e+00,173
174,2,-3.900000e+01,-4.457950e+01,2.103361e+00,3.848158e-01,2.702809e-01,-4.484180e+00,174
175,1,-5.100000e+01,-4.456006e+01,2.149342e+00,1.940088e-01,4.630319e-01,-4.520041e+00,175
176,3,-2.200000e+01,-4.453597e+01,2.066915e+00,5.724673e-01,8.698245e-02,-4.458864e+00,176
177,0,-6.100000e+01,-4.447709e+01,2.218147e+00,0.000000e+00,6.653370e-01,-4.556770e+00,177
178,3,-2.300000e+01,-4.445704e+01,2.067222e+00,5.724673e-01,9.487473e-02,-4.451669e+00,178
179,2,-4.000000e+01,-4.444167e+01,2.103908e+00,3.848158e-01,2.840630e-01,-4.472376e+00,179
180,1,-5.200000e+01,-4.438018e+01,2.150075e+00,1.940088e-01,4.810192e-01,-4.506090e+00,180
181,3,-2.400000e+01,-4.437472e+01,2.067541e+00,5.724673e-01,1.031075e-01,-4.444191e+00,181
182,2,-4.100000e+01,-4.430049e+01,2.104468e+00,3.848158e-01,2.981817e-01,-4.460359e+00,182
183,3,-2.500000e+01,-4.428899e+01,2.067874e+00,5.724673e-01,1.116803e-01,-4.436432e+00,183
184,0,-6.200000e+01,-4.426182e+01,2.219063e+00,0.000000e+00,6.868639e-01,-4.540317e+00,184
185,3,-2.600000e+01,-4.419986e+01,2.068221e+00,5.724673e-01,1.205928e-01,-4.428393e+00,185
186,1,-5.300000e+01,-4.419698e+01,2.150823e+00,1.940088e-01,4.993392e-01,-4.491910e+00,186
187,2,-4.200000e+01,-4.415594e+01,2.105042e+00,3.848158e-01,3.126365e-01,-4.448161e+00,187
188,3,-2.700000e+01,-4.410734e+01,2.068581e+00,5.724673e-01,1.298447e-01,-4.420078e+00,188
189,0,-6.300000e+01,-4.404327e+01,2.219995e+00,0.000000e+00,7.087192e-01,-4.523641e+00,189
190,3,-2.800000e+01,-4.401143e+01,2.068955e+00,5.724673e-01,1.394356e-01,-4.411488e+00,190
191,1,-5.400000e+01,-4.401047e+01,2.151586e+00,1.940088e-01,5.179910e-01,-4.477502e+00,191
192,2,-4.300000e+01,-4.400804e+01,2.105631e+00,3.848158e-01,3.274267e-01,-4.436406e+00,192
193,3,-2.900000e+01,-4.391214e+01,2.069342e+00,5.724673e-01,1.493650e-01,-4.402625e+00,193
194,2,-4.400000e+01,-4.385679e+01,2.106234e+00,3.848158e-01,3.425517e-01,-4.424437e+00,194
195,0,-6.400000e+01,-4.382144e+01,2.220943e+00,0.000000e+00,7.309021e-01,-4.506742e+00,195
196,1,-5.500000e+01,-4.382064e+01,2.152363e+00,1.940088e-01,5.369740e-01,-4.462866e+00,196
197,3,-3.000000e+01,-4.380946e+01,2.069743e+00,5.724673e-01,1.596326e-01,-4.393493e+00,197
198,3,-3.100000e+01,-4.370341e+01,2.070158e+00,5.724673e-01,1.702379e-01,-4.384092e+00,198
199,2,-4.500000e+01,-4.370220e+01,2.106851e+00,3.848158e-01,3.580108e-01,-4.412258e+00,199
200,1,-5.600000e+01,-4.362750e+01,2.153156e+00,1.940088e-01,5.562872e-01,-4.448003e+00,200
201,0,-6.500000e+01,-4.359635e+01,2.221908e+00,0.000000e+00,7.534118e-01,-4.489621e+00,201
202,3,-3.200000e+01,-4.359398e+01,2.070586e+00,5.724673e-01,1.811805e-01,-4.374427e+00,202
203,4,-0.000000e+00,-4.356035e+01,2.039470e+00,7.570117e-01,0.000000e+00,-4.356035e+00,203
204,4,-1.000000e+00,-4.355694e+01,2.039483e+00,7.570117e-01,3.404400e-04,-4.355696e+00,204
205,4,-2.000000e+00,-4.355013e+01,2.039509e+00,7.570117e-01,1.021350e-03,-4.355022e+00,205
206,2,-4.600000e+01,-4.354427e+01,2.107482e+00,3.848158e-01,3.738035e-01,-4.399861e+00,206
207,4,-3.000000e+00,-4.353992e+01,2.039549e+00,7.570117e-01,2.042650e-03,-4.354015e+00,207
208,4,-4.000000e+00,-4.352630e+01,2.039601e+00,7.570117e-01,3.404310e-03,-4.352679e+00,208
209,4,-5.000000e+00,-4.350928e+01,2.039667e+00,7.570117e-01,5.106270e-03,-4.351017e+00,209
210,4,-6.000000e+00,-4.348886e+01,2.039745e+00,7.570117e-01,7.148480e-03,-4.349031e+00,210
211,3,-3.300000e+01,-4.348119e+01,2.071028e+00,5.724673e-01,1.924599e-01,-4.364499e+00,211
212,4,-7.000000e+00,-4.346504e+01,2.039837e+00,7.570117e-01,9.530840e-03,-4.346724e+00,212
213,4,-8.000000e+00,-4.343781e+01,2.039942e+00,7.570117e-01,1.225323e-02,-4.344099e+00,213
214,1,-5.700000e+01,-4.343108e+01,2.153964e+00,1.940088e-01,5.759300e-01,-4.432914e+00,214
215,4,-9.000000e+00,-4.340719e+01,2.040059e+00,7.570117e-01,1.531557e-02,-4.341158e+00,215
216,2,-4.700000e+01,-4.338302e+01,2.108127e+00,3.848158e-01,3.899290e-01,-4.387241e+00,216
217,4,-1.000000e+01,-4.337317e+01,2.040191e+00,7.570117e-01,1.871773e-02,-4.337904e+00,217
218,0,-6.600000e+01,-4.336799e+01,2.222888e+00,0.000000e+00,7.762471e-01,-4.472280e+00,218
219,3,-3.400000e+01,-4.336503e+01,2.071483e+00,5.724673e-01,2.040756e-01,-4.354312e+00,219
220,4,-1.100000e+01,-4.333575e+01,2.040335e+00,7.570117e-01,2.245951e-02,-4.334339e+00,220
221,4,-1.200000e+01,-4.329494e+01,2.040492e+00,7.570117e-01,2.654081e-02,-4.330466e+00,221
222,4,-1.300000e+01,-4.325073e+01,2.040663e+00,7.570117e-01,3.096144e-02,-4.326287e+00,222
223,3,-3.500000e+01,-4.324552e+01,2.071952e+00,5.724673e-01,2.160272e-01,-4.343869e+00,223
224,1,-5.800000e+01,-4.323136e+01,2.154787e+00,1.940088e-01,5.959015e-01,-4.417601e+00,224
225,2,-4.800000e+01,-4.321844e+01,2.108787e+00,3.848158e-01,4.063867e-01,-4.374399e+00,225
226,4,-1.400000e+01,-4.320313e+01,2.040846e+00,7.570117e-01,3.572123e-02,-4.321805e+00,226
227,4,-1.500000e+01,-4.315215e+01,2.041043e+00,7.570117e-01,4.081993e-02,-4.317023e+00,227
228,0,-6.700000e+01,-4.313639e+01,2.223885e+00,0.000000e+00,7.994073e-01,-4.454721e+00,228
229,3,-3.600000e+01,-4.312265e+01,2.072435e+00,5.724673e-01,2.283142e-01,-4.333174e+00,229
230,4,-1.600000e+01,-4.309777e+01,2.041253e+00,7.570117e-01,4.625736e-02,-4.311941e+00,230
231,2,-4.900000e+01,-4.305055e+01,2.109462e+00,3.848158e-01,4.231759e-01,-4.361331e+00,231
232,4,-1.700000e+01,-4.304001e+01,2.041476e+00,7.570117e-01,5.203328e-02,-4.306564e+00,232
233,1,-5.900000e+01,-4.302837e+01,2.155625e+00,1.940088e-01,6.162008e-01,-4.402063e+00,233
234,3,-3.700000e+01,-4.299643e+01,2.072932e+00,5.724673e-01,2.409359e-01,-4.322232e+00,234
235,4,-1.800000e+01,-4.297887e+01,2.041713e+00,7.570117e-01,5.814746e-02,-4.300893e+00,235
236,4,-1.900000e+01,-4.291435e+01,2.041963e+00,7.570117e-01,6.459961e-02,-4.294931e+00,236
237,0,-6.800000e+01,-4.290155e+01,2.224898e+00,0.000000e+00,8.228913e-01,-4.436944e+00,237
238,2,-5.000000e+01,-4.287935e+01,2.110151e+00,3.848158e-01,4.402959e-01,-4.348038e+00,238
239,3,-3.800000e+01,-4.286687e+01,2.073442e+00,5.724673e-01,2.538920e-01,-4.311048e+00,239
240,4,-2.000000e+01,-4.284645e+01,2.042225e+00,7.570117e-01,7.138947e-02,-4.288680e+00,240
241,1,-6.000000e+01,-4.282210e+01,2.156478e+00,1.940088e-01,6.368271e-01,-4.386302e+00,241
242,4,-2.100000e+01,-4.277518e+01,2.042502e+00,7.570117e-01,7.851676e-02,-4.282142e+00,242
