id,v,Longitude,Latitude,rIn,EeVVib,EeVRot,DeltaEintDiss,Bin
8918,-12,2.120000e+02,1.881152e+01,2.025761e+00,3.231849e+00,8.402992e+00,-5.027549e-01,114
8919,-13,2.100000e+02,1.881231e+01,2.010086e+00,3.478019e+00,8.156901e+00,-4.422885e-01,114
8920,-20,1.970000e+02,1.893763e+01,1.923645e+00,5.099950e+00,6.547502e+00,-6.216153e-02,129
8921,-19,1.990000e+02,1.907137e+01,1.934646e+00,4.879239e+00,6.781587e+00,-1.026069e-01,129
8922,-18,2.010000e+02,1.917517e+01,1.946217e+00,4.654818e+00,7.016388e+00,-1.470209e-01,129
8923,-21,1.960000e+02,1.918096e+01,1.916757e+00,5.316917e+00,6.354868e+00,-1.128121e-02,117
8924,-17,2.030000e+02,1.925590e+01,1.958371e+00,4.426720e+00,7.252559e+00,-1.947300e-01,129
8925,-16,2.050000e+02,1.931800e+01,1.971136e+00,4.194971e+00,7.490518e+00,-2.453024e-01,129
8926,-15,2.070000e+02,1.936478e+01,1.984551e+00,3.959593e+00,7.730574e+00,-2.984197e-01,129
8927,-20,1.980000e+02,1.939774e+01,1.927085e+00,5.099950e+00,6.593513e+00,-4.293877e-02,117
8928,-14,2.090000e+02,1.939890e+01,1.998666e+00,3.720604e+00,7.972975e+00,-3.538298e-01,126
8929,-13,2.110000e+02,1.942257e+01,2.013545e+00,3.478019e+00,8.217927e+00,-4.113243e-01,126
8930,-3,2.310000e+02,1.942460e+01,2.238061e+00,8.559607e-01,1.084019e+01,-1.070343e+00,123
8931,-4,2.290000e+02,1.942565e+01,2.204342e+00,1.134173e+00,1.056208e+01,-9.991007e-01,123
8932,-2,2.330000e+02,1.942670e+01,2.278079e+00,5.741937e-01,1.112217e+01,-1.142501e+00,123
8933,-5,2.270000e+02,1.942907e+01,2.174890e+00,1.408831e+00,1.028776e+01,-9.288309e-01,123
8934,-1,2.350000e+02,1.943266e+01,2.328855e+00,2.888725e-01,1.140808e+01,-1.215525e+00,123
8935,-6,2.250000e+02,1.943399e+01,2.148578e+00,1.679934e+00,1.001715e+01,-8.595989e-01,123
8936,-12,2.130000e+02,1.943773e+01,2.029263e+00,3.231849e+00,8.465613e+00,-4.707254e-01,126
8937,-7,2.230000e+02,1.943949e+01,2.124702e+00,1.947483e+00,9.750155e+00,-7.914785e-01,126
8938,0,2.370000e+02,1.944312e+01,2.405780e+00,0.000000e+00,1.169800e+01,-1.289376e+00,123
8939,-8,2.210000e+02,1.944457e+01,2.102791e+00,2.211477e+00,9.486669e+00,-7.245514e-01,126
8940,-11,2.150000e+02,1.944605e+01,2.045914e+00,2.982104e+00,8.716190e+00,-5.318784e-01,126
8941,-9,2.190000e+02,1.944815e+01,2.082511e+00,2.471913e+00,9.226591e+00,-6.589075e-01,126
8942,-10,2.170000e+02,1.944906e+01,2.063614e+00,2.728790e+00,8.969805e+00,-5.946465e-01,126
8943,-19,2.000000e+02,1.956131e+01,1.938051e+00,4.879239e+00,6.830581e+00,-8.088747e-02,117
8944,-18,2.020000e+02,1.968944e+01,1.949614e+00,4.654818e+00,7.067815e+00,-1.233609e-01,117
8945,-17,2.040000e+02,1.979173e+01,1.961774e+00,4.426720e+00,7.306142e+00,-1.694126e-01,117
8946,-20,1.990000e+02,1.984441e+01,1.930635e+00,5.099950e+00,6.638180e+00,-2.530233e-02,129
8947,-16,2.060000e+02,1.987362e+01,1.974555e+00,4.194971e+00,7.546080e+00,-2.185101e-01,117
8948,-15,2.080000e+02,1.993895e+01,1.987994e+00,3.959593e+00,7.787991e+00,-2.702847e-01,117
8949,-14,2.100000e+02,1.999065e+01,2.002140e+00,3.720604e+00,8.032150e+00,-3.244542e-01,114
