R1,R2,R3,R4,R5,R6
2.452865e+00,5.088490e+00,8.763462e+00,6.837494e+00,1.099241e+01,9.448632e+00
2.452865e+00,5.294759e+00,9.166818e+00,6.908998e+00,1.136768e+01,1.039349e+01
2.452865e+00,5.533769e+00,9.576494e+00,7.011673e+00,1.174996e+01,1.133836e+01
2.452865e+00,6.094096e+00,1.041181e+01,7.304886e+00,1.253299e+01,1.322808e+01
2.452865e+00,6.740842e+00,1.126445e+01,7.703550e+00,1.333700e+01,1.511781e+01
2.452865e+00,7.451537e+00,1.213076e+01,8.192284e+00,1.415841e+01,1.700753e+01
2.452865e+00,8.209593e+00,1.300802e+01,8.756021e+00,1.499438e+01,1.889726e+01
2.452865e+00,5.990402e+00,6.742272e+00,8.432838e+00,9.186635e+00,1.511780e+00
2.452865e+00,5.953012e+00,6.797671e+00,8.392523e+00,9.239920e+00,1.700752e+00
2.452865e+00,5.916896e+00,6.853925e+00,8.353081e+00,9.293861e+00,1.889727e+00
2.452865e+00,5.882075e+00,6.911013e+00,8.314527e+00,9.348445e+00,2.078699e+00
2.452865e+00,5.848573e+00,6.968915e+00,8.276871e+00,9.403662e+00,2.267671e+00
2.452865e+00,5.816414e+00,7.027610e+00,8.240127e+00,9.459500e+00,2.456646e+00
2.452865e+00,5.785618e+00,7.087078e+00,8.204307e+00,9.515949e+00,2.645617e+00
2.452865e+00,5.756210e+00,7.147301e+00,8.169422e+00,9.572997e+00,2.834589e+00
2.452865e+00,5.728209e+00,7.208259e+00,8.135485e+00,9.630635e+00,3.023561e+00
2.452865e+00,5.701636e+00,7.269934e+00,8.102508e+00,9.688851e+00,3.212536e+00
2.452865e+00,5.676512e+00,7.332308e+00,8.070503e+00,9.747635e+00,3.401507e+00
2.452865e+00,5.630686e+00,7.459082e+00,8.009452e+00,9.866868e+00,3.779451e+00
2.452865e+00,5.590876e+00,7.588445e+00,7.952425e+00,9.988253e+00,4.157398e+00
2.452865e+00,5.557209e+00,7.720266e+00,7.899507e+00,1.011171e+01,4.535341e+00
2.452865e+00,5.529799e+00,7.854421e+00,7.850783e+00,1.023717e+01,4.913288e+00
2.452865e+00,5.508739e+00,7.990794e+00,7.806331e+00,1.036456e+01,5.291235e+00
2.452865e+00,5.494101e+00,8.129272e+00,7.766223e+00,1.049380e+01,5.669178e+00
2.452865e+00,5.485888e+00,8.483997e+00,7.685391e+00,1.082459e+01,6.614040e+00
2.452865e+00,5.518260e+00,8.849731e+00,7.632997e+00,1.116558e+01,7.558905e+00
2.452865e+00,5.590508e+00,9.225164e+00,7.609627e+00,1.151585e+01,8.503767e+00
2.452865e+00,5.701120e+00,9.609160e+00,7.615550e+00,1.187459e+01,9.448632e+00
2.452865e+00,5.847917e+00,1.000073e+01,7.650696e+00,1.224106e+01,1.039349e+01
2.452865e+00,6.028256e+00,1.039902e+01,7.714667e+00,1.261457e+01,1.133836e+01
2.452865e+00,6.477848e+00,1.121289e+01,7.925977e+00,1.338037e+01,1.322808e+01
2.452865e+00,7.026429e+00,1.204590e+01,8.240854e+00,1.416781e+01,1.511781e+01
2.452865e+00,7.652737e+00,1.289434e+01,8.647990e+00,1.497347e+01,1.700753e+01
2.452865e+00,8.339283e+00,1.375536e+01,9.135062e+00,1.579456e+01,1.889726e+01
2.452865e+00,1.730527e+01,1.806064e+01,1.975660e+01,2.051209e+01,1.511780e+00
2.452865e+00,1.726136e+01,1.811100e+01,1.971227e+01,2.056207e+01,1.700752e+00
2.452865e+00,1.721785e+01,1.816170e+01,1.966829e+01,2.061237e+01,1.889727e+00
2.452865e+00,1.717476e+01,1.821276e+01,1.962467e+01,2.066298e+01,2.078699e+00
2.452865e+00,1.713207e+01,1.826416e+01,1.958141e+01,2.071390e+01,2.267671e+00
2.452865e+00,1.708981e+01,1.831591e+01,1.953851e+01,2.076512e+01,2.456646e+00
2.452865e+00,1.704796e+01,1.836799e+01,1.949598e+01,2.081664e+01,2.645617e+00
2.452865e+00,1.700653e+01,1.842042e+01,1.945381e+01,2.086847e+01,2.834589e+00
2.452865e+00,1.696553e+01,1.847317e+01,1.941200e+01,2.092059e+01,3.023561e+00
2.452865e+00,1.692496e+01,1.852626e+01,1.937057e+01,2.097301e+01,3.212536e+00
2.452865e+00,1.688482e+01,1.857968e+01,1.932952e+01,2.102572e+01,3.401507e+00
2.452865e+00,1.680584e+01,1.868749e+01,1.924853e+01,2.113202e+01,3.779451e+00
2.452865e+00,1.672862e+01,1.879658e+01,1.916906e+01,2.123947e+01,4.157398e+00
2.452865e+00,1.665319e+01,1.890693e+01,1.909114e+01,2.134805e+01,4.535341e+00
2.452865e+00,1.657958e+01,1.901852e+01,1.901477e+01,2.145775e+01,4.913288e+00
2.452865e+00,1.650779e+01,1.913133e+01,1.893998e+01,2.156854e+01,5.291235e+00
2.452865e+00,1.643787e+01,1.924533e+01,1.886678e+01,2.168041e+01,5.669178e+00
2.452865e+00,1.627135e+01,1.953541e+01,1.869091e+01,2.196472e+01,6.614040e+00
2.452865e+00,1.611696e+01,1.983251e+01,1.852541e+01,2.225542e+01,7.558905e+00
2.452865e+00,1.597506e+01,2.013631e+01,1.837057e+01,2.255228e+01,8.503767e+00
