Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
228,0,-67,-43.13639,2.223885,0,0.799407,-4.454721,1
229,3,-36,-43.12265,2.072435,0.572467,0.228314,-4.333174,6
230,4,-16,-43.09777,2.041253,0.757012,0.046257,-4.311941,8
231,2,-49,-43.05055,2.109462,0.384816,0.423176,-4.361331,7
232,4,-17,-43.04001,2.041476,0.757012,0.052033,-4.306564,8
233,1,-59,-43.02837,2.155625,0.194009,0.616201,-4.402063,2
234,3,-37,-42.99643,2.072932,0.572467,0.240936,-4.322232,6
235,4,-18,-42.97887,2.041713,0.757012,0.058147,-4.300893,8
236,4,-19,-42.91435,2.041963,0.757012,0.0646,-4.294931,8
237,0,-68,-42.90155,2.224898,0,0.822891,-4.436944,1
238,2,-50,-42.87935,2.110151,0.384816,0.440296,-4.348038,7
239,3,-38,-42.86687,2.073442,0.572467,0.253892,-4.311048,6
240,4,-20,-42.84645,2.042225,0.757012,0.071389,-4.28868,8
241,1,-60,-42.8221,2.156478,0.194009,0.636827,-4.386302,2
242,4,-21,-42.77518,2.042502,0.757012,0.078517,-4.282142,8
243,3,-39,-42.73397,2.073966,0.572467,0.267182,-4.299628,6
244,2,-51,-42.70485,2.110854,0.384816,0.457746,-4.33452,7
245,4,-22,-42.70054,2.042791,0.757012,0.085981,-4.275321,8
246,0,-69,-42.66348,2.225927,0,0.846698,-4.41895,1
247,4,-23,-42.62252,2.043094,0.757012,0.093782,-4.268217,8
248,1,-61,-42.61258,2.157347,0.194009,0.65778,-4.370319,2
249,3,-40,-42.59774,2.074504,0.572467,0.280805,-4.287983,6
250,4,-24,-42.54115,2.04341,0.757012,0.10192,-4.260834,8
251,2,-52,-42.52705,2.111572,0.384816,0.475525,-4.320777,7
252,3,-41,-42.45819,2.075056,0.572467,0.29476,-4.276129,6
253,4,-25,-42.45641,2.043739,0.757012,0.110394,-4.253174,8
254,0,-70,-42.42219,2.226973,0,0.870827,-4.400742,1
255,1,-62,-42.3998,2.158231,0.194009,0.679057,-4.354115,2
256,4,-26,-42.36831,2.044082,0.757012,0.119204,-4.245238,8
257,2,-53,-42.34597,2.112304,0.384816,0.493633,-4.306809,7
258,3,-42,-42.31531,2.075622,0.572467,0.309048,-4.264098,6
259,4,-27,-42.27686,2.044438,0.757012,0.128349,-4.23703,8
260,1,-63,-42.18378,2.15913,0.194009,0.70066,-4.337692,2
261,4,-28,-42.18206,2.044807,0.757012,0.137828,-4.228551,8
262,0,-71,-42.1777,2.228036,0,0.895277,-4.38232,1
263,3,-43,-42.16912,2.076202,0.572467,0.323667,-4.252514,6
264,2,-54,-42.16161,2.113051,0.384816,0.512069,-4.292616,7
265,4,-29,-42.08392,2.04519,0.757012,0.147643,-4.219803,8
