"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
6,1,2.13121e+00,2.47169e+00,2.31099e+00,-4.91164e+00,-4.91179e+00,7.39837e-03,1.94009e-01,2.60000e+01,0.00000e+00,0.00000e+00,2.28237e+00,-5.20369e+00,1.35920e+01,1.46268e-04,8.89023e+02,1.00000e-300
7,1,2.13131e+00,2.47181e+00,2.31110e+00,-4.90917e+00,-4.90940e+00,9.86402e-03,1.94009e-01,1.50000e+01,0.00000e+00,0.00000e+00,2.28247e+00,-5.20118e+00,1.27469e+01,2.21993e-04,8.89151e+02,1.00000e-300
8,1,2.13142e+00,2.47195e+00,2.31123e+00,-4.90636e+00,-4.90667e+00,1.26816e-02,1.94009e-01,3.40000e+01,0.00000e+00,0.00000e+00,2.28259e+00,-5.19831e+00,1.20566e+01,3.19465e-04,8.89298e+02,1.00000e-300
9,1,2.13154e+00,2.47211e+00,2.31137e+00,-4.90319e+00,-4.90363e+00,1.58511e-02,1.94009e-01,1.90000e+01,0.00000e+00,0.00000e+00,2.28273e+00,-5.19509e+00,1.14788e+01,4.41158e-04,8.89464e+02,1.00000e-300
34,0,2.19935e+00,2.39557e+00,2.30063e+00,-4.90187e+00,-4.91970e+00,2.11177e-01,0.00000e+00,1.38000e+02,0.00000e+00,0.00000e+00,2.29107e+00,-4.99874e+00,6.62078e+00,1.78284e-02,8.84709e+02,1.00000e-300
10,1,2.13168e+00,2.47228e+00,2.31153e+00,-4.89966e+00,-4.90025e+00,1.93722e-02,1.94009e-01,4.20000e+01,0.00000e+00,0.00000e+00,2.28288e+00,-5.19151e+00,1.09858e+01,5.89486e-04,8.89648e+02,1.00000e-300
11,1,2.13183e+00,2.47247e+00,2.31170e+00,-4.89579e+00,-4.89656e+00,2.32449e-02,1.94009e-01,2.30000e+01,0.00000e+00,0.00000e+00,2.28305e+00,-5.18757e+00,1.05583e+01,7.66813e-04,8.89851e+02,1.00000e-300
12,1,2.13200e+00,2.47267e+00,2.31189e+00,-4.89157e+00,-4.89254e+00,2.74691e-02,1.94009e-01,5.00000e+01,0.00000e+00,0.00000e+00,2.28323e+00,-5.18327e+00,1.01829e+01,9.75461e-04,8.90072e+02,1.00000e-300
35,0,2.19985e+00,2.39614e+00,2.30117e+00,-4.88950e+00,-4.90884e+00,2.23547e-01,0.00000e+00,7.10000e+01,0.00000e+00,0.00000e+00,2.29161e+00,-4.98629e+00,6.53699e+00,1.93384e-02,8.85349e+02,1.00000e-300
13,1,2.13218e+00,2.47290e+00,2.31209e+00,-4.88699e+00,-4.88821e+00,3.20444e-02,1.94009e-01,2.70000e+01,0.00000e+00,0.00000e+00,2.28342e+00,-5.17861e+00,9.84948e+00,1.21772e-03,8.90312e+02,1.00000e-300
14,1,2.13237e+00,2.47314e+00,2.31231e+00,-4.88207e+00,-4.88356e+00,3.69708e-02,1.94009e-01,5.80000e+01,0.00000e+00,0.00000e+00,2.28363e+00,-5.17360e+00,9.55062e+00,1.49584e-03,8.90570e+02,1.00000e-300
15,1,2.13258e+00,2.47340e+00,2.31255e+00,-4.87679e+00,-4.87860e+00,4.22481e-02,1.94009e-01,3.10000e+01,0.00000e+00,0.00000e+00,2.28386e+00,-5.16823e+00,9.28054e+00,1.81206e-03,8.90847e+02,1.00000e-300
36,0,2.20037e+00,2.39673e+00,2.30172e+00,-4.87678e+00,-4.89771e+00,2.36264e-01,0.00000e+00,1.46000e+02,0.00000e+00,0.00000e+00,2.29216e+00,-4.97350e+00,6.45341e+00,2.09317e-02,8.86008e+02,1.00000e-300
16,1,2.13280e+00,2.47367e+00,2.31280e+00,-4.87116e+00,-4.87333e+00,4.78760e-02,1.94009e-01,6.60000e+01,0.00000e+00,0.00000e+00,2.28410e+00,-5.16250e+00,9.03477e+00,2.16858e-03,8.91142e+02,1.00000e-300
17,1,2.13303e+00,2.47397e+00,2.31307e+00,-4.86518e+00,-4.86775e+00,5.38543e-02,1.94009e-01,3.50000e+01,0.00000e+00,0.00000e+00,2.28436e+00,-5.15642e+00,8.80977e+00,2.56759e-03,8.91457e+02,1.00000e-300
37,0,2.20091e+00,2.39733e+00,2.30230e+00,-4.86372e+00,-4.88633e+00,2.49328e-01,0.00000e+00,7.50000e+01,0.00000e+00,0.00000e+00,2.29272e+00,-4.96035e+00,6.36893e+00,2.26125e-02,8.86686e+02,1.00000e-300
18,1,2.13328e+00,2.47428e+00,2.31335e+00,-4.85886e+00,-4.86187e+00,6.01828e-02,1.94009e-01,7.40000e+01,0.00000e+00,0.00000e+00,2.28463e+00,-5.14998e+00,8.60273e+00,3.01127e-03,8.91790e+02,1.00000e-300
