Potential energy surface number:
         1
Diatom type:
        OO
Number of rotational levels:
       241
Number of vibrational levels:
        45
Number of ro-vibrational levels (total, bound, quasibound):
      6115      4581      1534
Rotational quantum number, Number of ro-vibrational levels (for this rotational level), jrdotjr [hbar^2], rmin [bohr], ediamin [hartree], rmax [bohr], ediamax [hartree]
          0         45  0.0000000000000000E+00  2.2820490195380909E+00 -2.1001227493155916E-07  2.0000000000000000E+02  1.9151013767477762E-01
         38         38  1.4820000000000000E+03  2.2932908659874625E+00  9.7094764908140976E-03  6.2833385843858851E+00  1.9240536505361028E-01
         39         38  1.5600000000000000E+03  2.2939003449370099E+00  1.0217867909055687E-02  6.1919160844868468E+00  1.9247409903967608E-01
         40         38  1.6400000000000000E+03  2.2945222479047307E+00  1.0739020266975563E-02  6.0918183317246868E+00  1.9254680088116335E-01
         41         38  1.7220000000000000E+03  2.2951432579733231E+00  1.1272912433717861E-02  5.9733956571707703E+00  1.9262401426501397E-01
         42         37  1.8060000000000000E+03  2.2957815072640946E+00  1.1819523223510922E-02  5.7931087615105197E+00  1.9270695164714544E-01
         43         37  1.8920000000000000E+03  2.2964399492069711E+00  1.2378830690065656E-02  5.1253599608974207E+00  1.9281848665955975E-01
         44         37  1.9800000000000000E+03  2.2971072045847656E+00  1.2950812359278915E-02  5.0782949430920690E+00  1.9293447853412019E-01
         45         37  2.0700000000000000E+03  2.2978035584400556E+00  1.3535445218862593E-02  5.0430118337444778E+00  1.9305500931873829E-01
         46         37  2.1620000000000000E+03  2.2985030205914860E+00  1.4132705830386103E-02  5.0139820095135246E+00  1.9317978500206245E-01
         47         37  2.2560000000000000E+03  2.2992314039152264E+00  1.4742570051799155E-02  4.9890395153110312E+00  1.9330864522104266E-01
         48         37  2.3520000000000000E+03  2.2999701077622263E+00  1.5365013423908273E-02  4.9668804502562329E+00  1.9344149145291023E-01
         49         37  2.4500000000000000E+03  2.3007386610131291E+00  1.6000010801400833E-02  4.9468181662066595E+00  1.9357825931845257E-01
         50         36  2.5500000000000000E+03  2.3014997534224908E+00  1.6647536647981760E-02  4.9284016408766460E+00  1.9371890540050615E-01
         51         36  2.6520000000000000E+03  2.3023082152220189E+00  1.7307564784633397E-02  4.9113364812061242E+00  1.9386340011068917E-01
         52         36  2.7560000000000000E+03  2.3031195735915184E+00  1.7980068596042620E-02  4.8953170041624823E+00  1.9401172347023324E-01
