 ######################################################################################################################################################
 # jqn   : the rotational q.n. of the i'th quantum state
 # vqn   : the vibrational q.n. of the i'th quantum state
 # eint  : internal energy of i'th quantum state [Eh]
 # egam  : Half width of i'th quantum state
 # rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
 # vmin  : the value of the potential minimun (inc. cent. pot.)
 # vmax  : the value of the local potential maximum (inc. cent. pot.)
 # tau   : the vibrational period of the i'th quantum state
 # ri    : inner turning point
 # ro    : outter turning point
 # rmax  : location of maximum in centrifugal barrier
 ######################################################################################################################################################
 #   vqn  jqn      eint           egam           rmin           rmax           vmin           vmax            tau             ri             ro
 ######################################################################################################################################################
     1   46  2.4647053E-02  0.0000000E+00  2.2985245E+00  5.0135858E+00  1.4142293E-02  1.9318190E-01  9.0877589E+02  2.1458876E+00  2.4902520E+00
     3    0  2.4656202E-02  0.0000000E+00  2.2820503E+00  4.6284577E+01  1.6140915E-06  1.9151028E-01  9.1854476E+02  2.0635289E+00  2.5909193E+00
     3    1  2.4668880E-02  0.0000000E+00  2.2820654E+00  2.7033300E+01  1.4789189E-05  1.9151035E-01  9.1856436E+02  2.0635421E+00  2.5909382E+00
     3    2  2.4694229E-02  0.0000000E+00  2.2820955E+00  2.1162559E+01  4.1138863E-05  1.9151060E-01  9.1860356E+02  2.0635685E+00  2.5909760E+00
     3    3  2.4732184E-02  0.0000000E+00  2.2821407E+00  1.8060669E+01  8.0662069E-05  1.9151115E-01  9.1866221E+02  2.0636084E+00  2.5910322E+00
     3    4  2.4782814E-02  0.0000000E+00  2.2822010E+00  1.6072401E+01  1.3335724E-04  1.9151211E-01  9.1874048E+02  2.0636615E+00  2.5911074E+00
     3    5  2.4846110E-02  0.0000000E+00  2.2822764E+00  1.4660629E+01  1.9922229E-04  1.9151357E-01  9.1883837E+02  2.0637279E+00  2.5912015E+00
     2   33  2.4916748E-02  0.0000000E+00  2.2905534E+00  6.7056712E+00  7.3655080E-03  1.9211290E-01  9.1412113E+02  2.1003587E+00  2.5456164E+00
     3    6  2.4922077E-02  0.0000000E+00  2.2823668E+00  1.3592011E+01  2.7825461E-04  1.9151565E-01  9.1895590E+02  2.0638074E+00  2.5913145E+00
     3    7  2.5010710E-02  0.0000000E+00  2.2824723E+00  1.2746859E+01  3.7045106E-04  1.9151843E-01  9.1909310E+02  2.0639002E+00  2.5914465E+00
     0   57  2.5031716E-02  0.0000000E+00  2.3073958E+00  4.8263259E+00  2.1542356E-02  1.9481368E-01  9.0430221E+02  2.2146409E+00  2.4132539E+00
