######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     2    6  1.8019790E-02  0.0000000E+00  2.2823550E+00  1.3611934E+01  2.7627758E-04  1.9151546E-01  9.0396542E+02  2.0930778E+00  2.5357427E+00
     2    7  1.8109378E-02  0.0000000E+00  2.2824834E+00  1.2761178E+01  3.6842309E-04  1.9151824E-01  9.0409834E+02  2.0931720E+00  2.5358691E+00
     2    8  1.8211755E-02  0.0000000E+00  2.2825991E+00  1.2067349E+01  4.7372175E-04  1.9152181E-01  9.0425031E+02  2.0932796E+00  2.5360137E+00
     0   47  1.8269383E-02  0.0000000E+00  2.2992314E+00  4.9890395E+00  1.4742570E-02  1.9330865E-01  8.9456591E+02  2.2069703E+00  2.4044497E+00
     2    9  1.8326915E-02  0.0000000E+00  2.2827212E+00  1.1487289E+01  5.9216947E-04  1.9152627E-01  9.0442133E+02  2.0934007E+00  2.5361764E+00
     1   34  1.8412459E-02  0.0000000E+00  2.2910631E+00  6.6218820E+00  7.8039190E-03  1.9216461E-01  8.9971697E+02  2.1391203E+00  2.4816693E+00
     2   10  1.8454854E-02  0.0000000E+00  2.2828689E+00  1.0992549E+01  7.2376157E-04  1.9153171E-01  9.0461145E+02  2.0935353E+00  2.5363572E+00
     2   11  1.8595566E-02  0.0000000E+00  2.2830381E+00  1.0563986E+01  8.6849277E-04  1.9153822E-01  9.0482067E+02  2.0936833E+00  2.5365562E+00
     2   12  1.8749046E-02  0.0000000E+00  2.2832297E+00  1.0187606E+01  1.0263574E-03  1.9154587E-01  9.0504904E+02  2.0938449E+00  2.5367733E+00
     1   35  1.8861912E-02  0.0000000E+00  2.2916096E+00  6.5381369E+00  8.2610686E-03  1.9222005E-01  9.0037837E+02  2.1396064E+00  2.4822808E+00
