id,v,Longitude,Latitude,rIn,EeVVib,EeVRot
270,3,-4.400000e+01,-8.424944e+01,1.888935e+00,8.559607e-01,4.727840e-01
271,2,-5.600000e+01,-8.413133e+01,1.922497e+00,5.741937e-01,7.663623e-01
272,4,-2.900000e+01,-8.412983e+01,1.860728e+00,1.134173e+00,2.065330e-01
273,0,-7.400000e+01,-8.406458e+01,2.025513e+00,0.000000e+00,1.347231e+00
274,3,-4.500000e+01,-8.403587e+01,1.889422e+00,8.559607e-01,4.941414e-01
275,4,-3.000000e+01,-8.398779e+01,1.861047e+00,1.134173e+00,2.207368e-01
276,1,-6.600000e+01,-8.397427e+01,1.964362e+00,2.888725e-01,1.067389e+00
277,2,-5.700000e+01,-8.386031e+01,1.923125e+00,5.741937e-01,7.934643e-01
278,4,-3.100000e+01,-8.384107e+01,1.861376e+00,1.134173e+00,2.354084e-01
279,3,-4.600000e+01,-8.381767e+01,1.889919e+00,8.559607e-01,5.159611e-01
280,0,-7.500000e+01,-8.370649e+01,2.026394e+00,0.000000e+00,1.383040e+00
281,4,-3.200000e+01,-8.368968e+01,1.861717e+00,1.134173e+00,2.505477e-01
282,1,-6.700000e+01,-8.365514e+01,1.965121e+00,2.888725e-01,1.099302e+00
283,3,-4.700000e+01,-8.359485e+01,1.890428e+00,8.559607e-01,5.382431e-01
284,2,-5.800000e+01,-8.358472e+01,1.923766e+00,5.741937e-01,8.210232e-01
285,4,-3.300000e+01,-8.353362e+01,1.862068e+00,1.134173e+00,2.661540e-01
286,5,-0.000000e+00,-8.344858e+01,1.837026e+00,1.408831e+00,0.000000e+00
287,5,-1.000000e+00,-8.344386e+01,1.837036e+00,1.408831e+00,4.719000e-04
288,5,-2.000000e+00,-8.343443e+01,1.837057e+00,1.408831e+00,1.415000e-03
289,5,-3.000000e+00,-8.342028e+01,1.837089e+00,1.408831e+00,2.830000e-03
290,5,-4.000000e+00,-8.340142e+01,1.837131e+00,1.408831e+00,4.716300e-03
291,5,-5.000000e+00,-8.337784e+01,1.837183e+00,1.408831e+00,7.074400e-03
292,4,-3.400000e+01,-8.337289e+01,1.862429e+00,1.134173e+00,2.822267e-01
293,3,-4.800000e+01,-8.336743e+01,1.890947e+00,8.559607e-01,5.609858e-01
294,5,-6.000000e+00,-8.334954e+01,1.837246e+00,1.408831e+00,9.903600e-03
295,0,-7.600000e+01,-8.334396e+01,2.027288e+00,0.000000e+00,1.419293e+00
296,1,-6.800000e+01,-8.333151e+01,1.965891e+00,2.888725e-01,1.131665e+00
297,5,-7.000000e+00,-8.331654e+01,1.837319e+00,1.408831e+00,1.320430e-02
298,2,-5.900000e+01,-8.330458e+01,1.924417e+00,5.741937e-01,8.490373e-01
299,5,-8.000000e+00,-8.327882e+01,1.837403e+00,1.408831e+00,1.697610e-02
300,5,-9.000000e+00,-8.323639e+01,1.837498e+00,1.408831e+00,2.121920e-02
301,4,-3.500000e+01,-8.320751e+01,1.862802e+00,1.134173e+00,2.987652e-01
302,5,-1.000000e+01,-8.318925e+01,1.837602e+00,1.408831e+00,2.593270e-02
303,5,-1.100000e+01,-8.313741e+01,1.837718e+00,1.408831e+00,3.111730e-02
304,3,-4.900000e+01,-8.313539e+01,1.891478e+00,8.559607e-01,5.841893e-01
305,5,-1.200000e+01,-8.308086e+01,1.837844e+00,1.408831e+00,3.677210e-02
306,4,-3.600000e+01,-8.303747e+01,1.863185e+00,1.134173e+00,3.157688e-01
307,2,-6.000000e+01,-8.301989e+01,1.925081e+00,5.741937e-01,8.775064e-01
308,5,-1.300000e+01,-8.301961e+01,1.837980e+00,1.408831e+00,4.289740e-02
309,1,-6.900000e+01,-8.300339e+01,1.966673e+00,2.888725e-01,1.164478e+00
310,0,-7.700000e+01,-8.297699e+01,2.028194e+00,0.000000e+00,1.455991e+00
311,5,-1.400000e+01,-8.295365e+01,1.838127e+00,1.408831e+00,4.949290e-02
312,3,-5.000000e+01,-8.289877e+01,1.892020e+00,8.559607e-01,6.078517e-01
313,5,-1.500000e+01,-8.288300e+01,1.838284e+00,1.408831e+00,5.655810e-02
314,4,-3.700000e+01,-8.286279e+01,1.863580e+00,1.134173e+00,3.332371e-01
315,5,-1.600000e+01,-8.280765e+01,1.838452e+00,1.408831e+00,6.409290e-02
316,2,-6.100000e+01,-8.273067e+01,1.925756e+00,5.741937e-01,9.064286e-01
317,5,-1.700000e+01,-8.272761e+01,1.838631e+00,1.408831e+00,7.209710e-02
318,4,-3.800000e+01,-8.268346e+01,1.863985e+00,1.134173e+00,3.511694e-01
319,1,-7.000000e+01,-8.267078e+01,1.967467e+00,2.888725e-01,1.197738e+00
320,3,-5.100000e+01,-8.265755e+01,1.892573e+00,8.559607e-01,6.319730e-01
321,5,-1.800000e+01,-8.264288e+01,1.838819e+00,1.408831e+00,8.057020e-02
322,0,-7.800000e+01,-8.260559e+01,2.029113e+00,0.000000e+00,1.493130e+00
323,5,-1.900000e+01,-8.255346e+01,1.839019e+00,1.408831e+00,8.951210e-02
324,4,-3.900000e+01,-8.249951e+01,1.864401e+00,1.134173e+00,3.695649e-01
325,5,-2.000000e+01,-8.245936e+01,1.839229e+00,1.408831e+00,9.892240e-02
326,2,-6.200000e+01,-8.243692e+01,1.926442e+00,5.741937e-01,9.358035e-01
327,3,-5.200000e+01,-8.241176e+01,1.893137e+00,8.559607e-01,6.565520e-01
328,5,-2.100000e+01,-8.236057e+01,1.839450e+00,1.408831e+00,1.088007e-01
329,1,-7.100000e+01,-8.233371e+01,1.968274e+00,2.888725e-01,1.231445e+00
330,4,-4.000000e+01,-8.231093e+01,1.864828e+00,1.134173e+00,3.884232e-01
331,5,-2.200000e+01,-8.225711e+01,1.839681e+00,1.408831e+00,1.191467e-01
332,0,-7.900000e+01,-8.222977e+01,2.030045e+00,0.000000e+00,1.530712e+00
333,3,-5.300000e+01,-8.216141e+01,1.893713e+00,8.559607e-01,6.815878e-01
334,5,-2.300000e+01,-8.214898e+01,1.839922e+00,1.408831e+00,1.299600e-01
335,2,-6.300000e+01,-8.213865e+01,1.927140e+00,5.741937e-01,9.656299e-01
336,4,-4.100000e+01,-8.211773e+01,1.865265e+00,1.134173e+00,4.077433e-01
337,5,-2.400000e+01,-8.203618e+01,1.840175e+00,1.408831e+00,1.412402e-01
338,1,-7.200000e+01,-8.199218e+01,1.969092e+00,2.888725e-01,1.265598e+00
339,4,-4.200000e+01,-8.191991e+01,1.865714e+00,1.134173e+00,4.275248e-01
340,5,-2.500000e+01,-8.191871e+01,1.840438e+00,1.408831e+00,1.529870e-01
341,3,-5.400000e+01,-8.190649e+01,1.894300e+00,8.559607e-01,7.070794e-01
342,0,-8.000000e+01,-8.184956e+01,2.030990e+00,0.000000e+00,1.568733e+00
343,2,-6.400000e+01,-8.183588e+01,1.927850e+00,5.741937e-01,9.959069e-01
344,5,-2.600000e+01,-8.179658e+01,1.840711e+00,1.408831e+00,1.651998e-01
345,4,-4.300000e+01,-8.171749e+01,1.866173e+00,1.134173e+00,4.477669e-01
346,5,-2.700000e+01,-8.166980e+01,1.840995e+00,1.408831e+00,1.778781e-01
347,3,-5.500000e+01,-8.164702e+01,1.894898e+00,8.559607e-01,7.330260e-01
348,1,-7.300000e+01,-8.164620e+01,1.969923e+00,2.888725e-01,1.300196e+00
349,5,-2.800000e+01,-8.153836e+01,1.841290e+00,1.408831e+00,1.910218e-01
350,2,-6.500000e+01,-8.152862e+01,1.928571e+00,5.741937e-01,1.026633e+00
351,4,-4.400000e+01,-8.151047e+01,1.866644e+00,1.134173e+00,4.684685e-01
352,0,-8.100000e+01,-8.146496e+01,2.031947e+00,0.000000e+00,1.607193e+00
353,5,-2.900000e+01,-8.140228e+01,1.841595e+00,1.408831e+00,2.046299e-01
354,3,-5.600000e+01,-8.138302e+01,1.895507e+00,8.559607e-01,7.594268e-01
355,4,-4.500000e+01,-8.129886e+01,1.867125e+00,1.134173e+00,4.896294e-01
356,1,-7.400000e+01,-8.129580e+01,1.970765e+00,2.888725e-01,1.335237e+00
357,5,-3.000000e+01,-8.126156e+01,1.841911e+00,1.408831e+00,2.187023e-01
358,2,-6.600000e+01,-8.121688e+01,1.929304e+00,5.741937e-01,1.057807e+00
359,5,-3.100000e+01,-8.111620e+01,1.842238e+00,1.408831e+00,2.332383e-01
360,3,-5.700000e+01,-8.111447e+01,1.896128e+00,8.559607e-01,7.862809e-01
361,4,-4.600000e+01,-8.108267e+01,1.867617e+00,1.134173e+00,5.112486e-01
362,0,-8.200000e+01,-8.107598e+01,2.032917e+00,0.000000e+00,1.646091e+00
363,5,-3.200000e+01,-8.096621e+01,1.842575e+00,1.408831e+00,2.482375e-01
364,1,-7.500000e+01,-8.094097e+01,1.971620e+00,2.888725e-01,1.370720e+00
365,2,-6.700000e+01,-8.090067e+01,1.930049e+00,5.741937e-01,1.089429e+00
366,4,-4.700000e+01,-8.086191e+01,1.868121e+00,1.134173e+00,5.333252e-01
367,3,-5.800000e+01,-8.084141e+01,1.896759e+00,8.559607e-01,8.135869e-01
368,5,-3.300000e+01,-8.081159e+01,1.842923e+00,1.408831e+00,2.636993e-01
369,6,-0.000000e+00,-8.073755e+01,1.820196e+00,1.679934e+00,0.000000e+00
370,6,-1.000000e+00,-8.073287e+01,1.820206e+00,1.679934e+00,4.675000e-04
371,6,-2.000000e+00,-8.072353e+01,1.820227e+00,1.679934e+00,1.401900e-03
372,6,-3.000000e+00,-8.070951e+01,1.820258e+00,1.679934e+00,2.803600e-03
373,6,-4.000000e+00,-8.069082e+01,1.820300e+00,1.679934e+00,4.672500e-03
374,0,-8.300000e+01,-8.068265e+01,2.033901e+00,0.000000e+00,1.685424e+00
375,6,-5.000000e+00,-8.066746e+01,1.820352e+00,1.679934e+00,7.008600e-03
376,5,-3.400000e+01,-8.065235e+01,1.843282e+00,1.408831e+00,2.796231e-01
377,6,-6.000000e+00,-8.063943e+01,1.820414e+00,1.679934e+00,9.811300e-03
378,4,-4.800000e+01,-8.063657e+01,1.868635e+00,1.134173e+00,5.558586e-01
379,6,-7.000000e+00,-8.060673e+01,1.820487e+00,1.679934e+00,1.308130e-02
380,1,-7.600000e+01,-8.058173e+01,1.972487e+00,2.888725e-01,1.406643e+00
381,2,-6.800000e+01,-8.057999e+01,1.930805e+00,5.741937e-01,1.121496e+00
382,6,-8.000000e+00,-8.056937e+01,1.820570e+00,1.679934e+00,1.681800e-02
383,3,-5.900000e+01,-8.056384e+01,1.897403e+00,8.559607e-01,8.413442e-01
384,6,-9.000000e+00,-8.052733e+01,1.820664e+00,1.679934e+00,2.102130e-02
385,5,-3.500000e+01,-8.048850e+01,1.843651e+00,1.408831e+00,2.960082e-01
386,6,-1.000000e+01,-8.048063e+01,1.820768e+00,1.679934e+00,2.569110e-02
387,6,-1.100000e+01,-8.042927e+01,1.820882e+00,1.679934e+00,3.082720e-02
388,4,-4.900000e+01,-8.040668e+01,1.869160e+00,1.134173e+00,5.788479e-01
389,6,-1.200000e+01,-8.037325e+01,1.821007e+00,1.679934e+00,3.642950e-02
390,5,-3.600000e+01,-8.032004e+01,1.844032e+00,1.408831e+00,3.128542e-01
391,6,-1.300000e+01,-8.031257e+01,1.821143e+00,1.679934e+00,4.249770e-02
392,0,-8.400000e+01,-8.028497e+01,2.034896e+00,0.000000e+00,1.725192e+00
393,3,-6.000000e+01,-8.028177e+01,1.898057e+00,8.559607e-01,8.695515e-01
394,2,-6.900000e+01,-8.025487e+01,1.931573e+00,5.741937e-01,1.154009e+00
395,6,-1.400000e+01,-8.024723e+01,1.821288e+00,1.679934e+00,4.903140e-02
396,1,-7.700000e+01,-8.021810e+01,1.973366e+00,2.888725e-01,1.443007e+00
397,6,-1.500000e+01,-8.017724e+01,1.821444e+00,1.679934e+00,5.603070e-02
398,4,-5.000000e+01,-8.017224e+01,1.869696e+00,1.134173e+00,6.022921e-01
399,5,-3.700000e+01,-8.014697e+01,1.844422e+00,1.408831e+00,3.301606e-01
400,6,-1.600000e+01,-8.010259e+01,1.821611e+00,1.679934e+00,6.349530e-02
401,6,-1.700000e+01,-8.002330e+01,1.821788e+00,1.679934e+00,7.142470e-02
402,3,-6.100000e+01,-7.999520e+01,1.898723e+00,8.559607e-01,8.982081e-01
403,5,-3.800000e+01,-7.996932e+01,1.844824e+00,1.408831e+00,3.479264e-01
404,6,-1.800000e+01,-7.993936e+01,1.821976e+00,1.679934e+00,7.981860e-02
405,4,-5.100000e+01,-7.993325e+01,1.870244e+00,1.134173e+00,6.261905e-01
406,2,-7.000000e+01,-7.992531e+01,1.932353e+00,5.741937e-01,1.186965e+00
407,0,-8.500000e+01,-7.988296e+01,2.035906e+00,0.000000e+00,1.765393e+00
408,6,-1.900000e+01,-7.985078e+01,1.822174e+00,1.679934e+00,8.867700e-02
409,1,-7.800000e+01,-7.985008e+01,1.974258e+00,2.888725e-01,1.479808e+00
410,5,-3.900000e+01,-7.978707e+01,1.845236e+00,1.408831e+00,3.661510e-01
411,6,-2.000000e+01,-7.975755e+01,1.822382e+00,1.679934e+00,9.799940e-02
412,3,-6.200000e+01,-7.970416e+01,1.899401e+00,8.559607e-01,9.273128e-01
413,4,-5.200000e+01,-7.968974e+01,1.870802e+00,1.134173e+00,6.505423e-01
414,6,-2.100000e+01,-7.965969e+01,1.822601e+00,1.679934e+00,1.077854e-01
415,5,-4.000000e+01,-7.960024e+01,1.845659e+00,1.408831e+00,3.848340e-01
